ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949243,96,,96,Crusaders,0.00,3.12,5,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:07:09Z,0,0,0,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,,,,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
1,949243,35870,Isaiah Armstrong-Ravula,441,Fijian Drua,0.00,3.12,5,1,50,35,66,60,14,Restart,281,50m Restart,287,Restart Own Error,289,Short,753,Kicked Right,796,Kick Receipt Contested,0,,0,,0,,0,,0,,16,30,26,0,2026-04-03T06:07:09Z,1,0,1,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
2,949243,26115,Sevu Reece,96,Crusaders,2.96,2.96,7,1,32,8,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:07:09Z,1,0,1,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,11,11,Left Wing,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
3,949243,62542,Joji Nasova,441,Fijian Drua,3.12,3.12,8,1,66,60,0,0,18,Collection,275,Restart Catch,278,Fail,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:07:09Z,1,0,1,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,14,14,Right Wing,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
4,949243,62542,Joji Nasova,441,Fijian Drua,3.32,3.32,8,1,66,60,0,0,8,Turnover,254,Dropped Ball Unforced,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:07:13Z,1,0,1,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,14,14,Right Wing,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
5,949243,0,,441,Fijian Drua,0.00,5.56,10,1,50,35,66,60,26,Sequences,307,50m Restart,411,Turnover (Scrum),0,,0,,0,,0,,0,,0,,0,,0,,16,0,0,0,2026-04-03T06:07:09Z,1,0,1,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,,,,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
6,949243,32974,Louie Chapman,96,Crusaders,53.76,59.44,58,1,34,7,0,0,5,Scrum,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,660,Wide Right Open Movement Scrum,0,,0,,0,,0,,0,,0,0,-14,41,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
7,949243,22369,George Bower,96,Crusaders,53.76,59.44,58,1,34,7,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,01,1,Loosehead Prop,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
8,949243,18808,Codie Taylor,96,Crusaders,53.76,59.44,58,1,34,7,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,02,2,Hooker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
9,949243,34448,Fletcher Newell,96,Crusaders,53.76,59.44,58,1,34,7,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,03,3,Tighthead Prop,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
10,949243,34997,Antonio Shalfoon,96,Crusaders,53.76,59.44,58,1,34,7,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,04,4,Lock (4),0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
11,949243,35714,Jamie Hannah,96,Crusaders,53.76,59.44,58,1,34,7,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,05,5,Lock (5),0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
12,949243,36021,Corey Kellow,96,Crusaders,53.76,59.44,58,1,34,7,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,06,6,Blindside Flanker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
13,949243,63248,Johnny Lee,96,Crusaders,53.76,59.44,58,1,34,7,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,07,7,Openside Flanker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
14,949243,37604,Christian Lio-Willie,96,Crusaders,53.76,59.44,58,1,34,7,0,0,28,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,08,8,Number 8,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
15,949243,31483,Haereiti Hetet,441,Fijian Drua,53.76,59.44,58,1,34,7,0,0,29,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,01,1,Loosehead Prop,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
16,949243,34982,Zuriel Togiatama,441,Fijian Drua,53.76,59.44,58,1,34,7,0,0,29,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,02,2,Hooker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
17,949243,20730,Mesake Doge,441,Fijian Drua,53.76,59.44,58,1,34,7,0,0,29,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,03,3,Tighthead Prop,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
18,949243,32876,Isoa Nasilasila,441,Fijian Drua,53.76,59.44,58,1,34,7,0,0,29,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,04,4,Lock (4),0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
19,949243,35147,Joseva Tamani,441,Fijian Drua,53.76,59.44,58,1,34,7,0,0,29,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,05,5,Lock (5),0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
20,949243,34464,Etonia Waqa,441,Fijian Drua,53.76,59.44,58,1,34,7,0,0,29,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,06,6,Blindside Flanker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
21,949243,35673,Kitione Salawa,441,Fijian Drua,53.76,59.44,58,1,34,7,0,0,29,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,07,7,Openside Flanker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
22,949243,34647,Elia Canakaivata,441,Fijian Drua,53.76,59.44,58,1,34,7,0,0,29,,367,Scrum Half Pass,353,Won Outright,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,08,8,Number 8,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
23,949243,32974,Louie Chapman,96,Crusaders,59.44,59.44,104,1,33,7,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:09Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
24,949243,32974,Louie Chapman,96,Crusaders,59.60,60.24,104,1,33,7,20,17,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,10,16,13,0,2026-04-03T06:08:09Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,34452,Dallas McLeod,96,Crusaders,25
25,949243,34452,Dallas McLeod,96,Crusaders,60.24,60.24,105,1,20,17,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:09Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,12,12,Inside Centre,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
26,949243,0,,96,Crusaders,60.24,60.24,105,1,20,17,0,0,45,Defensive Exits,628,Failed Exit From 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:09Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,,,,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
27,949243,34452,Dallas McLeod,96,Crusaders,60.80,63.64,105,1,21,17,20,46,3,Pass,174,Incomplete,0,,680,Long Pass,682,Right Pass,701,1st Receiver,0,,0,,0,,0,,0,,30,30,2,0,2026-04-03T06:08:10Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,12,12,Inside Centre,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,28160,Will Jordan,96,Crusaders,28
28,949243,28160,Will Jordan,96,Crusaders,63.64,63.64,108,1,20,46,0,0,18,Collection,272,Attacking Loose Ball,278,Fail,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:13Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,15,15,Full Back,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
29,949243,28160,Will Jordan,96,Crusaders,64.00,64.00,109,1,19,47,0,0,8,Turnover,254,Dropped Ball Unforced,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:08:13Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,15,15,Full Back,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
30,949243,0,,96,Crusaders,53.76,65.64,110,1,34,7,19,47,15,Possession,309,Scrum,411,Turnover (Scrum),0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,-15,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,,,,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
31,949243,0,,96,Crusaders,53.76,65.64,110,1,34,7,19,47,26,Sequences,309,Scrum,411,Turnover (Scrum),0,,0,,0,,0,,0,,0,,0,,0,,-15,0,0,0,2026-04-03T06:08:03Z,1,1,2,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,,,,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
32,949243,23495,Issak Fines-Leleiwasa,441,Fijian Drua,112.72,117.16,157,1,81,21,0,0,5,Scrum,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,664,Close Right Open Movement Scrum,0,,0,,0,,0,,0,,0,0,13,5,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
33,949243,31483,Haereiti Hetet,441,Fijian Drua,112.72,117.16,157,1,81,21,0,0,28,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,01,1,Loosehead Prop,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
34,949243,34982,Zuriel Togiatama,441,Fijian Drua,112.72,117.16,157,1,81,21,0,0,28,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,02,2,Hooker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
35,949243,20730,Mesake Doge,441,Fijian Drua,112.72,117.16,157,1,81,21,0,0,28,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,03,3,Tighthead Prop,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
36,949243,32876,Isoa Nasilasila,441,Fijian Drua,112.72,117.16,157,1,81,21,0,0,28,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,04,4,Lock (4),0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
37,949243,35147,Joseva Tamani,441,Fijian Drua,112.72,117.16,157,1,81,21,0,0,28,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,05,5,Lock (5),0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
38,949243,34464,Etonia Waqa,441,Fijian Drua,112.72,117.16,157,1,81,21,0,0,28,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,06,6,Blindside Flanker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
39,949243,35673,Kitione Salawa,441,Fijian Drua,112.72,117.16,157,1,81,21,0,0,28,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,07,7,Openside Flanker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
40,949243,34647,Elia Canakaivata,441,Fijian Drua,112.72,117.16,157,1,81,21,0,0,28,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,08,8,Number 8,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
41,949243,22369,George Bower,96,Crusaders,112.72,117.16,157,1,81,21,0,0,29,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,01,1,Loosehead Prop,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
42,949243,18808,Codie Taylor,96,Crusaders,112.72,117.16,157,1,81,21,0,0,29,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,02,2,Hooker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
43,949243,34448,Fletcher Newell,96,Crusaders,112.72,117.16,157,1,81,21,0,0,29,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,03,3,Tighthead Prop,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
44,949243,34997,Antonio Shalfoon,96,Crusaders,112.72,117.16,157,1,81,21,0,0,29,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,04,4,Lock (4),0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
45,949243,35714,Jamie Hannah,96,Crusaders,112.72,117.16,157,1,81,21,0,0,29,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,05,5,Lock (5),0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
46,949243,36021,Corey Kellow,96,Crusaders,112.72,117.16,157,1,81,21,0,0,29,,370,No 8 Pick Up,353,Won Outright,366,Negative,363,Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-03T06:09:02Z,1,2,3,0,0,96,Crusaders,441,Fijian Drua,03/04/2026,19:05,38,12,69,26,0,0,242,Apollo Projects Stadium,-1,,8,2026,06,6,Blindside Flanker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
