ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
0,945329,441,,441,Fijian Drua,0.00,3.68,4,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:37:47Z,0,0,0,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,,,,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
1,945329,35870,Isaiah Armstrong-Ravula,441,Fijian Drua,0.00,3.68,4,1,50,34,85,19,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,35,38,16,0,2025-05-17T03:37:47Z,1,0,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,10,10,Fly Half,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
2,945329,31912,Reesjan Pasitoa,73,Western Force,3.68,3.68,8,1,15,49,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:37:51Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,12,12,Inside Centre,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
3,945329,0,,73,Western Force,3.68,3.68,8,1,15,49,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,26,0,0,0,2025-05-17T03:37:51Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,,,,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
4,945329,31912,Reesjan Pasitoa,73,Western Force,3.68,7.12,8,1,15,49,21,49,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,6,6,1,1,2025-05-17T03:37:51Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,12,12,Inside Centre,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,34455,Tevita Ikanivere,441,Fijian Drua
5,945329,34455,Tevita Ikanivere,441,Fijian Drua,5.96,5.96,10,1,81,21,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:37:53Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,02,2,Hooker,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,31912,Reesjan Pasitoa,73,Western Force
6,945329,21899,Samu Tawake,441,Fijian Drua,6.04,6.04,10,1,81,21,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:37:53Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,03,3,Tighthead Prop,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,31912,Reesjan Pasitoa,73,Western Force
7,945329,31912,Reesjan Pasitoa,73,Western Force,7.12,12.32,12,1,21,49,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,666,Close Right Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,4,2025-05-17T03:37:54Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,12,12,Inside Centre,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,32878,Henry Robertson,73,Western Force
8,945329,32101,Jeremy Williams,73,Western Force,7.84,7.84,12,1,21,49,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:37:50Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,04,4,Lock (4),0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
9,945329,28157,Ryan Coxon,73,Western Force,8.88,8.88,13,1,21,49,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:37:51Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,01,1,Loosehead Prop,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
10,945329,32878,Henry Robertson,73,Western Force,12.32,12.32,17,1,19,49,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:37:59Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
11,945329,32878,Henry Robertson,73,Western Force,12.32,12.32,17,1,19,49,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:37:59Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
12,945329,32878,Henry Robertson,73,Western Force,12.80,13.00,17,1,20,49,17,52,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,3,4,3,0,2025-05-17T03:38:00Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,26784,Darcy Swain,73,Western Force
13,945329,26784,Darcy Swain,73,Western Force,13.00,13.00,17,1,17,52,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:00Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
14,945329,26784,Darcy Swain,73,Western Force,13.00,13.00,17,1,17,52,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:00Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
15,945329,26784,Darcy Swain,73,Western Force,13.00,15.44,17,1,17,52,20,52,1,Carry,101,One Out Drive,108,Tackled Neutral,111,Failed Gain line,461,Neutral Contact,501,1 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,3,1,1,2025-05-17T03:38:00Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,32876,Isoa Nasilasila,441,Fijian Drua
16,945329,32876,Isoa Nasilasila,441,Fijian Drua,14.52,14.52,19,1,81,16,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:01Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,26784,Darcy Swain,73,Western Force
17,945329,26784,Darcy Swain,73,Western Force,15.44,23.12,20,1,20,52,0,0,23,Ruck,0,,401,Won Outright,549,Behind Previous Gainline,558,6+ Seconds,670,Tight Right Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,1,2025-05-17T03:38:02Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,32878,Henry Robertson,73,Western Force
18,945329,28714,Nic Dolly,73,Western Force,16.04,16.04,20,1,20,52,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:37:55Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,02,2,Hooker,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
19,945329,21779,Tom Robertson,73,Western Force,16.08,16.08,21,1,20,52,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:37:55Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,03,3,Tighthead Prop,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
20,945329,28157,Ryan Coxon,73,Western Force,18.20,18.20,23,1,20,52,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:37:57Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,01,1,Loosehead Prop,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
21,945329,32101,Jeremy Williams,73,Western Force,21.04,21.04,25,1,20,52,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,4,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:00Z,2,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,04,4,Lock (4),0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
22,945329,32878,Henry Robertson,73,Western Force,23.12,23.12,28,1,17,52,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:10Z,3,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
23,945329,32878,Henry Robertson,73,Western Force,23.12,23.12,28,1,17,52,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:10Z,3,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
24,945329,32878,Henry Robertson,73,Western Force,23.80,28.12,28,1,17,53,41,68,4,Kick,346,Box,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,24,28,0,0,2025-05-17T03:38:11Z,3,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
25,945329,0,,441,Fijian Drua,0.00,28.12,33,1,50,34,60,0,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,10,0,0,0,2025-05-17T03:37:47Z,3,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,,,,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
26,945329,0,,73,Western Force,3.68,28.12,33,1,15,49,41,68,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,25,0,0,0,2025-05-17T03:37:51Z,3,1,1,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,,,,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,
27,945329,34455,Tevita Ikanivere,441,Fijian Drua,43.64,46.12,48,1,59,0,58,24,6,Lineout Throw,374,Throw 15m+,376,Won Clean Catch,420,Catch and Run,0,5+1,663,Close Left Open Movement Lineout,730,5 Players,725,Forward at Halfback (+1),0,,0,,0,,24,0,5,3,2025-05-17T03:38:31Z,1,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,02,2,Hooker,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,30861,Tuidraki Samusamuvodre,441,Fijian Drua
28,945329,30861,Tuidraki Samusamuvodre,441,Fijian Drua,46.12,46.12,51,1,58,24,0,0,27,Lineout Take,389,Lineout Win 15m+,376,Won Clean,420,Catch and Run,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:33Z,1,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,12,12,Inside Centre,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,34455,Tevita Ikanivere,441,Fijian Drua
29,945329,30861,Tuidraki Samusamuvodre,441,Fijian Drua,46.72,47.12,51,1,60,23,59,19,3,Pass,169,Complete,0,,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,4,4,1,0,2025-05-17T03:38:34Z,1,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,12,12,Inside Centre,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,58879,Ponipate Loganimasi,441,Fijian Drua
30,945329,58879,Ponipate Loganimasi,441,Fijian Drua,47.12,47.12,52,1,59,19,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:34Z,1,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,14,14,Right Wing,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
31,945329,58879,Ponipate Loganimasi,441,Fijian Drua,47.12,48.60,52,1,59,19,64,21,1,Carry,103,Other Carry,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,4,5,1,1,2025-05-17T03:38:34Z,1,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,14,14,Right Wing,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,28714,Nic Dolly,73,Western Force
32,945329,28714,Nic Dolly,73,Western Force,48.00,48.00,52,1,38,48,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:35Z,1,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,02,2,Hooker,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,58879,Ponipate Loganimasi,441,Fijian Drua
33,945329,27655,Bayley Kuenzle,73,Western Force,48.56,48.56,53,1,38,48,0,0,2,Tackle,144,Line,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:36Z,1,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,14,14,Right Wing,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,58879,Ponipate Loganimasi,441,Fijian Drua
34,945329,58879,Ponipate Loganimasi,441,Fijian Drua,48.60,50.48,53,1,64,21,0,0,23,Ruck,0,,401,Won Outright,548,Over Previous Gainline,553,1-2 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,17,2025-05-17T03:38:36Z,1,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,14,14,Right Wing,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,56381,Philip Baselala,441,Fijian Drua
35,945329,32876,Isoa Nasilasila,441,Fijian Drua,50.08,50.08,55,1,64,21,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:36Z,1,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
36,945329,34647,Elia Canakaivata,441,Fijian Drua,50.12,50.12,55,1,64,21,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:36Z,1,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,08,8,Number 8,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
37,945329,56376,Isoa Tuwai,441,Fijian Drua,50.28,50.28,55,1,64,21,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:36Z,1,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,07,7,Openside Flanker,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
38,945329,56381,Philip Baselala,441,Fijian Drua,50.48,50.48,55,1,62,21,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:37Z,2,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
39,945329,56381,Philip Baselala,441,Fijian Drua,50.48,50.48,55,1,62,21,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:37Z,2,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
40,945329,56381,Philip Baselala,441,Fijian Drua,50.64,51.40,55,1,63,23,58,34,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,12,12,5,0,2025-05-17T03:38:38Z,2,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,59793,Mesake Vocevoce,441,Fijian Drua
41,945329,59793,Mesake Vocevoce,441,Fijian Drua,51.40,51.40,56,1,58,34,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:38Z,2,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,04,4,Lock (4),0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
42,945329,59793,Mesake Vocevoce,441,Fijian Drua,51.40,51.40,56,1,58,34,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:38Z,2,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,04,4,Lock (4),0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,
43,945329,59793,Mesake Vocevoce,441,Fijian Drua,51.40,53.00,56,1,58,34,65,38,1,Carry,101,One Out Drive,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,2,7,2,2,2025-05-17T03:38:38Z,2,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,04,4,Lock (4),0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,22479,Reed Prinsep,73,Western Force
44,945329,22479,Reed Prinsep,73,Western Force,52.40,52.40,57,1,37,31,0,0,2,Tackle,144,Line,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2025-05-17T03:38:39Z,2,2,2,0,0,441,Fijian Drua,73,Western Force,17/05/2025,15:35,17,7,38,7,0,0,72,Churchill Park,-1,NA,14,2025,08,8,Number 8,0,,0,,1000544,Jordan Way,1000613,Matthew Kellahan,1001718,Jeremy Markey,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,59793,Mesake Vocevoce,441,Fijian Drua
